session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9ecf2880761bceb3edaeb,60b8f2c365ec36a3395896b6,RETURNED,2022-06-15 14:30:10.248000,,60965.220163,51,457,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ecfa107ba005c75c7c4f,5dafea4de40355001651fa2f,RETURNED,2022-06-15 14:30:23.217000,,60952.264255,27,546,8,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ed03a169d255c9fb0e5f,601903a3842bcc20df15b296,AWAITING REVIEW,2022-06-15 14:30:32.316000,2022-06-15 14:54:59.638000,1467.322,33,341,1,100,,39F54BF2,South Africa,South Africa,Part-Time,English,South Africa,Yes,Male,No,Yes
62a9ed3a68f588fcc3c0a318,5ed9111a0e4140448926fcd4,TIMED-OUT,2022-06-15 14:31:27.115000,,60888.392198,52,252,3,99,,,Portugal,Portugal,Full-Time,Portuguese,Portugal,Yes,Female,No,Yes
62a9ed623d4e1ad7f68de9f1,5fd391f111059f000ac10cde,RETURNED,2022-06-15 14:43:01.317000,,60194.203225,27,98,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ed8eab156a04a642e801,5ea057b821f4e400081b71a7,RETURNED,2022-06-15 14:32:50.139000,,60805.396371,65,902,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9edd69eb14ee4eb53b435,60cb4f111e27b7ab3656e188,AWAITING REVIEW,2022-06-15 14:34:03.903000,2022-06-15 14:45:17.028000,673.125,50,75,1,100,,39F54BF2,India,South Africa,DATA EXPIRED,Hindi,India,Yes,Female,DATA EXPIRED,Yes
62a9ee166658e7bfd8cfdfb8,5c8bafb53b6f3d00013d7c30,RETURNED,2022-06-15 14:45:02.371000,,60073.192859,32,803,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9ee28cbaf2a610f172268,61388a02b44b94c45b2a2d9e,TIMED-OUT,2022-06-15 14:35:26.077000,,60649.499671,23,49,1,100,,,Italy,Italy,Full-Time,Italian,Italy,Yes,Female,No,Yes
62a9eec4e56e5f1ef4276352,5ce7bd64a6f1d500164b6da6,RETURNED,2022-06-15 14:37:58.404000,,60497.187318,27,324,9,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
