session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab1f13e83725b75336d9ae,61534ac335007e11ae9dd475,AWAITING REVIEW,2022-06-16 12:17:05.625000,2022-06-16 12:28:37.853000,692.228,29,114,0,100,,78AD9052,South Africa,South Africa,Full-Time,Afrikaans,South Africa,Female,No
62ab1f147b30464bb93c1460,5f199b6864e620000a48d044,AWAITING REVIEW,2022-06-16 12:16:30.194000,2022-06-16 12:23:26.369000,416.175,20,105,3,97,,78AD9052,Poland,Poland,DATA EXPIRED,DATA EXPIRED,Poland,Female,Yes
62ab1f1a988424ec03f0ec62,5c6bc54296e5aa000163dc3f,AWAITING REVIEW,2022-06-16 12:16:26.442000,2022-06-16 12:25:28.068000,541.626,23,278,5,98,,78AD9052,Norway,Spain,Unemployed (and job seeking),Spanish,Norway,Male,Yes
62ab1f1d66cde4b3ec391df7,5f08d41543d4cc14796ebdd4,AWAITING REVIEW,2022-06-16 12:16:39.566000,2022-06-16 12:21:37.377000,297.811,21,117,1,100,,78AD9052,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Italian,Italy,Male,Yes
62ab1f2166cde4b3ec391df9,5be1dc34bd1d7c0001d98904,AWAITING REVIEW,2022-06-16 12:16:35.792000,2022-06-16 12:23:23.617000,407.825,26,263,6,97,,39F54BF2,Greece,Greece,DATA EXPIRED,Greek,Greece,Female,Yes
62ab1f21b58fe149d144ace9,59eb4fb0d838ae0001850e4f,AWAITING REVIEW,2022-06-16 12:16:39.238000,2022-06-16 12:22:10.512000,331.274,34,676,4,100,,39F54BF2,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62ab1f221c2c5515863a6310,611d602013815f9f5c55b68d,AWAITING REVIEW,2022-06-16 12:16:38.602000,2022-06-16 12:23:55.843000,437.241,23,82,4,95,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1f22e7c215d9f9c823b9,612a8b3510b00a1e033924e6,TIMED-OUT,2022-06-16 12:19:38.184000,,24744.236655,32,104,0,100,,,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,No
62ab1f2319fe8929f5d31b6c,61486bde7feea52c1bc87359,AWAITING REVIEW,2022-06-16 12:16:35.925000,2022-06-16 12:19:25.576000,169.651,,50,2,97,,NOCODE,,,,,,,
62ab1f245333e16bbd1af373,5ece738d76cf9722c9c738e2,AWAITING REVIEW,2022-06-16 12:16:39.127000,2022-06-16 12:21:38.849000,299.722,20,70,2,99,,39F54BF2,Portugal,Portugal,DATA EXPIRED,DATA EXPIRED,Portugal,Male,DATA EXPIRED
62ab1f245c5282fa10d41cc5,5e82142eca18009316c6b138,AWAITING REVIEW,2022-06-16 12:16:36.523000,2022-06-16 12:26:18.143000,581.62,22,141,0,100,,78AD9052,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Female,Yes
62ab1f26f07c2344e33adce4,60b569e7ea80ca050f4e3728,AWAITING REVIEW,2022-06-16 12:16:38.894000,2022-06-16 12:22:15.555000,336.661,28,57,1,100,,78AD9052,India,DATA EXPIRED,DATA EXPIRED,English,India,Male,DATA EXPIRED
62ab1f27de64cdb70b076e87,5d9fa9371da3ac0011d56df4,AWAITING REVIEW,2022-06-16 12:16:39.185000,2022-06-16 12:21:17.244000,278.059,30,258,5,98,,78AD9052,DATA EXPIRED,Poland,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
62ab1f299c41545cd762c590,60e776c653f0fbe817cd0190,AWAITING REVIEW,2022-06-16 12:16:41.663000,2022-06-16 12:22:19.667000,338.004,22,52,0,100,,78AD9052,South Africa,South Africa,Other,DATA EXPIRED,South Africa,Female,Yes
62ab1f2c0266dcd5a3ab163a,614dd6473c74b217ad73cc9c,AWAITING REVIEW,2022-06-16 12:16:44.461000,2022-06-16 12:30:44.869000,840.408,20,27,0,100,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Male,Yes
62ab1f2d93390975b84a4dae,60fd64efd63332117ca2f3ea,AWAITING REVIEW,2022-06-16 12:16:45.340000,2022-06-16 12:33:07.461000,982.121,20,27,2,96,,78AD9052,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab1f33fb191a74e5554ab6,5f0c995fb3b906653518cc76,AWAITING REVIEW,2022-06-16 12:16:54.816000,2022-06-16 12:21:19.200000,264.384,40,95,1,100,,78AD9052,Hungary,Hungary,Full-Time,Hungarian,Hungary,Male,No
62ab1f359976f047de140163,5e2c240986f3a3249ea3231c,AWAITING REVIEW,2022-06-16 12:16:53.330000,2022-06-16 12:26:40.058000,586.728,20,262,0,100,,78AD9052,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,Portugal,Female,Yes
62ab1f3997cfb876cca2ceb7,608ace41501cf3eb211c0633,AWAITING REVIEW,2022-06-16 12:16:59.984000,2022-06-16 12:22:51.896000,351.912,27,103,1,100,,78AD9052,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
62ab1f3a9c41545cd762c594,60df29c8447c436619e127fe,REJECTED,2022-06-16 12:17:13.465000,2022-06-16 12:36:12.555000,1139.09,23,111,3,97,2022-06-16 13:46:33.015000,39F54BF2,Botswana,South Africa,Full-Time,Afrikaans,Botswana,Male,No
62ab1f3c898499b2a7b2495a,611d14372f0789675dc47b76,AWAITING REVIEW,2022-06-16 12:17:17.875000,2022-06-16 12:27:29.186000,611.311,29,25,1,99,,78AD9052,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,Yes
